iter	Passed	Remaining
0	0	513
1	0	446
2	1	419
3	1	401
4	1	389
5	2	383
6	2	379
7	3	375
8	3	371
9	3	374
10	4	372
11	4	371
12	4	375
13	5	374
14	5	372
15	5	368
16	6	364
17	6	363
18	7	365
19	7	363
20	7	362
21	8	360
22	8	358
23	8	356
24	9	356
25	9	353
26	9	351
27	10	349
28	10	348
29	10	348
30	11	346
31	11	346
32	11	346
33	12	345
34	12	344
35	12	343
36	13	345
37	13	344
38	13	343
39	14	342
40	14	343
41	15	342
42	15	341
43	15	341
44	16	341
45	16	340
46	16	339
47	17	338
48	17	338
49	17	337
50	18	337
51	18	336
52	18	335
53	19	337
54	19	337
55	19	337
56	20	336
57	20	336
58	21	337
59	21	336
60	21	335
61	22	334
62	22	334
63	22	333
64	23	333
65	23	332
66	23	332
67	24	331
68	24	331
69	24	330
70	25	329
71	25	328
72	25	328
73	26	327
74	26	326
75	26	326
76	27	325
77	27	325
78	27	324
79	28	324
80	28	323
81	28	322
82	28	319
83	29	319
84	29	318
85	29	318
86	30	318
87	30	317
88	30	316
89	31	316
90	31	315
91	31	315
92	32	314
93	32	314
94	32	313
95	33	313
96	33	312
97	33	312
98	34	311
99	34	312
100	35	312
101	35	311
102	35	311
103	36	310
104	36	310
105	36	309
106	37	309
107	37	308
108	37	308
109	38	308
110	38	308
111	38	307
112	39	307
113	39	306
114	39	306
115	40	306
116	40	305
117	40	304
118	41	304
119	41	303
120	41	303
121	42	302
122	42	302
123	42	302
124	43	301
125	43	301
126	43	300
127	44	301
128	44	301
129	45	302
130	45	301
131	45	300
132	46	300
133	46	300
134	46	299
135	47	299
136	47	298
137	47	298
138	48	297
139	48	297
140	48	296
141	48	295
142	49	294
143	49	294
144	49	294
145	50	294
146	50	293
147	51	293
148	51	293
149	51	293
150	52	292
151	52	292
152	52	291
153	53	291
154	53	291
155	53	291
156	54	290
157	54	289
158	54	289
159	55	289
160	55	287
161	55	287
162	55	286
163	56	286
164	56	286
165	56	285
166	57	286
167	57	286
168	58	286
169	58	285
170	58	285
171	59	285
172	59	284
173	59	284
174	60	284
175	60	283
176	60	283
177	61	282
178	61	282
179	61	281
180	62	281
181	62	281
182	62	280
183	63	280
184	63	280
185	63	279
186	64	279
187	64	278
188	64	278
189	65	277
190	65	277
191	65	277
192	66	277
193	66	276
194	66	276
195	67	275
196	67	275
197	67	275
198	68	275
199	68	275
200	69	274
201	69	274
202	69	273
203	70	273
204	70	273
205	70	272
206	71	272
207	71	272
208	71	272
209	72	271
210	72	271
211	72	271
212	73	270
213	73	270
214	74	270
215	74	270
216	74	269
217	75	269
218	75	268
219	75	268
220	76	268
221	76	267
222	76	267
223	77	266
224	77	266
225	77	266
226	78	265
227	78	265
228	78	265
229	79	264
230	79	264
231	79	263
232	80	263
233	80	263
234	80	262
235	81	262
236	81	262
237	81	262
238	82	261
239	82	261
240	82	261
241	83	260
242	83	260
243	83	259
244	84	259
245	84	259
246	84	259
247	85	258
248	85	258
249	85	257
250	86	257
251	86	257
252	87	257
253	87	257
254	88	257
255	88	256
256	88	256
257	89	256
258	89	256
259	89	255
260	90	255
261	90	254
262	90	254
263	91	254
264	91	253
265	91	253
266	92	253
267	92	252
268	92	252
269	93	251
270	93	251
271	93	251
272	94	250
273	94	250
274	94	250
275	95	249
276	95	249
277	95	249
278	96	248
279	96	248
280	97	248
281	97	247
282	97	247
283	98	247
284	98	247
285	98	246
286	99	246
287	99	245
288	99	245
289	100	245
290	100	244
291	100	244
292	101	244
293	101	243
294	101	243
295	102	242
296	102	242
297	102	242
298	103	242
299	103	241
300	103	241
301	104	241
302	104	240
303	104	240
304	105	240
305	105	239
306	105	239
307	106	238
308	106	238
309	106	238
310	107	237
311	107	237
312	107	236
313	108	236
314	108	236
315	108	235
316	109	235
317	109	234
318	109	234
319	110	234
320	110	233
321	110	233
322	111	233
323	111	232
324	111	232
325	112	231
326	112	231
327	112	231
328	113	230
329	113	230
330	113	230
331	114	229
332	114	229
333	114	229
334	115	228
335	115	228
336	115	228
337	116	227
338	116	227
339	116	227
340	117	226
341	117	226
342	117	225
343	118	225
344	118	225
345	118	224
346	119	224
347	119	223
348	119	223
349	120	223
350	120	223
351	120	222
352	121	222
353	121	222
354	122	221
355	122	221
356	122	220
357	122	220
358	123	220
359	123	219
360	123	219
361	124	219
362	124	218
363	125	218
364	125	218
365	125	217
366	125	217
367	126	216
368	126	216
369	126	216
370	127	215
371	127	215
372	128	215
373	128	215
374	128	214
375	129	214
376	129	213
377	129	213
378	130	213
379	130	212
380	130	212
381	131	212
382	131	211
383	131	211
384	132	211
385	132	210
386	132	210
387	133	209
388	133	209
389	133	209
390	134	208
391	134	208
392	134	208
393	135	208
394	135	207
395	136	207
396	136	207
397	136	206
398	137	206
399	137	206
400	137	205
401	138	205
402	138	205
403	138	204
404	139	204
405	139	203
406	139	203
407	140	203
408	140	202
409	140	202
410	140	202
411	141	201
412	141	201
413	142	201
414	142	200
415	142	200
416	143	199
417	143	199
418	143	199
419	144	199
420	144	198
421	144	198
422	145	197
423	145	197
424	156	211
425	156	211
426	157	211
427	157	210
428	160	213
429	160	212
430	160	212
431	161	212
432	162	212
433	162	211
434	162	211
435	163	211
436	163	210
437	164	210
438	164	210
439	165	210
440	165	209
441	165	209
442	166	209
443	172	216
444	172	215
445	173	215
446	173	215
447	174	214
448	174	214
449	174	213
450	175	213
451	175	213
452	176	212
453	176	212
454	177	212
455	177	212
456	178	211
457	178	211
458	179	211
459	179	210
460	180	210
461	180	210
462	180	209
463	181	209
464	181	209
465	182	208
466	182	208
467	182	207
468	183	207
469	183	207
470	183	206
471	184	206
472	184	205
473	184	205
474	185	204
475	185	204
476	185	203
477	186	203
478	186	203
479	187	202
480	187	202
481	187	201
482	187	201
483	188	200
484	188	200
485	188	199
486	189	199
487	189	199
488	190	198
489	190	198
490	190	197
491	191	197
492	191	196
493	191	196
494	192	196
495	192	195
496	192	195
497	193	194
498	193	194
499	193	193
500	194	193
501	194	192
502	194	192
503	195	192
504	195	191
505	195	191
506	196	190
507	196	190
508	196	189
509	197	189
510	197	189
511	197	188
512	198	188
513	198	187
514	198	187
515	199	186
516	199	186
517	199	186
518	200	185
519	200	185
520	200	184
521	201	184
522	201	183
523	201	183
524	202	182
525	202	182
526	202	182
527	203	181
528	203	181
529	203	180
530	204	180
531	204	180
532	205	179
533	205	179
534	205	178
535	206	178
536	206	178
537	206	177
538	207	177
539	207	176
540	207	176
541	208	176
542	208	175
543	209	175
544	209	174
545	209	174
546	210	174
547	210	173
548	210	173
549	211	172
550	211	172
551	211	171
552	212	171
553	212	171
554	212	170
555	213	170
556	213	169
557	213	169
558	214	168
559	214	168
560	214	168
561	215	167
562	215	167
563	215	166
564	216	166
565	216	166
566	216	165
567	217	165
568	217	164
569	217	164
570	218	163
571	218	163
572	218	163
573	219	162
574	219	162
575	219	161
576	220	161
577	220	161
578	220	160
579	221	160
580	221	159
581	222	159
582	222	159
583	222	158
584	223	158
585	223	157
586	223	157
587	224	157
588	224	156
589	224	156
590	225	155
591	225	155
592	226	155
593	226	154
594	226	154
595	226	153
596	227	153
597	227	153
598	228	152
599	228	152
600	228	151
601	229	151
602	229	151
603	229	150
604	230	150
605	230	149
606	230	149
607	231	149
608	231	148
609	231	148
610	232	147
611	232	147
612	232	146
613	233	146
614	233	146
615	233	145
616	234	145
617	234	144
618	234	144
619	235	144
620	235	143
621	235	143
622	236	142
623	236	142
624	236	142
625	237	141
626	237	141
627	238	141
628	238	140
629	238	140
630	239	139
631	239	139
632	239	139
633	240	138
634	240	138
635	240	137
636	241	137
637	241	137
638	241	136
639	242	136
640	242	135
641	242	135
642	243	135
643	243	134
644	244	134
645	244	133
646	244	133
647	245	133
648	245	132
649	245	132
650	246	131
651	246	131
652	246	131
653	247	130
654	247	130
655	247	129
656	248	129
657	248	129
658	248	128
659	249	128
660	249	127
661	249	127
662	250	127
663	250	126
664	250	126
665	251	125
666	251	125
667	251	125
668	252	124
669	252	124
670	252	123
671	253	123
672	253	123
673	253	122
674	254	122
675	254	122
676	254	121
677	255	121
678	255	120
679	255	120
680	256	119
681	256	119
682	256	119
683	257	118
684	257	118
685	257	118
686	258	117
687	258	117
688	258	116
689	259	116
690	259	116
691	259	115
692	260	115
693	260	114
694	260	114
695	261	114
696	261	113
697	261	113
698	262	112
699	262	112
700	262	112
701	263	111
702	263	111
703	263	110
704	264	110
705	264	110
706	264	109
707	265	109
708	265	108
709	265	108
710	266	108
711	266	107
712	266	107
713	266	106
714	267	106
715	267	106
716	267	105
717	268	105
718	268	104
719	268	104
720	269	104
721	269	103
722	270	103
723	270	103
724	270	102
725	271	102
726	271	101
727	271	101
